project,commit,old_file,file_size,new_files_num,new_files
qmk_firmware,38f72c5d2bbae3be5a1d39284c1579616b097b75,keyboards/xelus/pachi/rgb/rev2/config.h,14,2,"[{'file_name': 'keyboards/xelus/pachi/rgb/rev2/config.h', 'file_size': 12, 'moved_size': 12}, {'file_name': 'keyboards/xelus/pachi/rgb/rev2/keymaps/via/config.h', 'file_size': 2, 'moved_size': 2}]"
vlc,4c19f003225869c7e5ad831e4431550d6666e6b5,modules/video_output/xcb/xcb_vlc.h,14,2,"[{'file_name': 'modules/video_output/xcb/events.h', 'file_size': 9, 'moved_size': 9}, {'file_name': 'modules/video_output/xcb/pictures.h', 'file_size': 5, 'moved_size': 5}]"
mpv,2b26517ef705c4043419e2e70dacd7760af1137e,osdep/threads.h,15,2,"[{'file_name': 'misc/dispatch.h', 'file_size': 12, 'moved_size': 11}, {'file_name': 'osdep/threads.h', 'file_size': 4, 'moved_size': 4}]"
vlc,df5793c289fa49607a503648a8b139425eb1b5ca,include/modules.h,15,2,"[{'file_name': 'include/modules.h', 'file_size': 11, 'moved_size': 11}, {'file_name': 'include/modules_core.h', 'file_size': 4, 'moved_size': 4}]"
esp-idf,00b6ec28b23668899dff16ccf9a746899b5c3c36,components/driver/include/driver/gptimer.h,15,2,"[{'file_name': 'components/driver/include/driver/gptimer.h', 'file_size': 14, 'moved_size': 13}, {'file_name': 'components/driver/include/driver/gptimer_types.h', 'file_size': 2, 'moved_size': 2}]"
git,a0103914c228cee430b37faab212d1769e8218a0,sha1dc/sha1.h,17,2,"[{'file_name': 'sha1dc/sha1.h', 'file_size': 11, 'moved_size': 11}, {'file_name': 'sha1dc_git.h', 'file_size': 6, 'moved_size': 6}]"
esp-idf,f5b03c9ea35b72e8c611f5eaf6ccb9ecbbdfc8d7,components/esp32/include/esp_panic.h,17,2,"[{'file_name': 'components/xtensa/include/esp_debug_helpers.h', 'file_size': 7, 'moved_size': 7}, {'file_name': 'components/xtensa/include/esp_private/panic_reason.h', 'file_size': 9, 'moved_size': 9}]"
FFmpeg,e2cf60f0401c6731026a82f7b5b18b1b0389ee5d,libavcodec/msmpeg4.h,18,2,"[{'file_name': 'libavcodec/msmpeg4.h', 'file_size': 7, 'moved_size': 7}, {'file_name': 'libavcodec/msmpeg4dec.h', 'file_size': 12, 'moved_size': 11}]"
ijkplayer,45a8c7714cc8a3737bc69b7730f864b923aee69c,ijkmediaplayer/jni/ijksdl/ijksdl_thread.h,18,2,"[{'file_name': 'ijkmediaplayer/jni/ijksdl/ijksdl_mutex.h', 'file_size': 15, 'moved_size': 14}, {'file_name': 'ijkmediaplayer/jni/ijksdl/ijksdl_thread.h', 'file_size': 4, 'moved_size': 4}]"
esp-idf,33a36166350852e20d1fe29f5cc9dfe21e2f9cf7,components/bootloader_support/include/esp_secure_boot.h,18,2,"[{'file_name': 'components/bootloader_support/include/esp_secure_boot.h', 'file_size': 16, 'moved_size': 16}, {'file_name': 'components/bootloader_support/private_include/bootloader_signature.h', 'file_size': 2, 'moved_size': 2}]"
FFmpeg,20d74fb09dbf133f9de92ed55314c7a547309d84,libavcodec/h263.h,19,2,"[{'file_name': 'libavcodec/h263.h', 'file_size': 8, 'moved_size': 8}, {'file_name': 'libavcodec/h263enc.h', 'file_size': 12, 'moved_size': 11}]"
FFmpeg,89523beea45e265d985aace8be79b45e94f21e6b,libavcodec/ppc/dsputil_altivec.h,19,2,"[{'file_name': 'libavcodec/ppc/dsputil_altivec.h', 'file_size': 4, 'moved_size': 4}, {'file_name': 'libavcodec/ppc/util_altivec.h', 'file_size': 16, 'moved_size': 15}]"
openssl,e85f3a14f8be2e1ee2bb362b64e24ac6d0cb8b2f,providers/implementations/include/prov/ciphercommon_ccm.h,19,2,"[{'file_name': 'providers/implementations/ciphers/cipher_aes_ccm.h', 'file_size': 2, 'moved_size': 2}, {'file_name': 'providers/implementations/include/prov/ciphercommon_ccm.h', 'file_size': 17, 'moved_size': 17}]"
esp-idf,49747bb48666a845cb85fc36bbac14d9afdaf2b8,components/hal/include/hal/adc_types.h,19,2,"[{'file_name': 'components/hal/include/hal/adc_types.h', 'file_size': 17, 'moved_size': 16}, {'file_name': 'components/hal/include/hal/adc_types_private.h', 'file_size': 3, 'moved_size': 3}]"
FFmpeg,55b9ef18e4a139fc24a3b695cb3c176f3ced09b8,libavcodec/cabac.h,20,2,"[{'file_name': 'libavcodec/cabac.h', 'file_size': 7, 'moved_size': 7}, {'file_name': 'libavcodec/cabac_functions.h', 'file_size': 14, 'moved_size': 13}]"
FFmpeg,6ed040408b26d8b5c896e60303a3bef6a39fa910,libavcodec/opt.h,20,2,"[{'file_name': 'libavcodec/opt.h', 'file_size': 4, 'moved_size': 4}, {'file_name': 'libavutil/opt.h', 'file_size': 17, 'moved_size': 16}]"
openwrt,f7cf3b2a68716b0260aa46f286631c2f5a8359b0,target/linux/ar71xx/files/arch/mips/include/asm/mach-ar71xx/platform.h,20,2,"[{'file_name': 'target/linux/ar71xx/files/arch/mips/ar71xx/devices.h', 'file_size': 14, 'moved_size': 13}, {'file_name': 'target/linux/ar71xx/files/arch/mips/include/asm/mach-ar71xx/platform.h', 'file_size': 7, 'moved_size': 7}]"
openssl,27af42f9ac7aa88006dd4cf73abda8abbf67e6d6,crypto/evp/evp_locl.h,21,2,"[{'file_name': 'crypto/evp/evp_locl.h', 'file_size': 17, 'moved_size': 17}, {'file_name': 'crypto/include/internal/evp_int.h', 'file_size': 4, 'moved_size': 4}]"
